PID | OCENA A | OCENA B | OGOLNA OCENA
1045062 | 75.20 | 91.67 | 83.44
1044901 | 74.00 | 89.67 | 81.84
1052832 | 98.00 | 60.67 | 79.34
1052468 | 71.80 | 85.67 | 78.73
1044417 | 91.00 | 66.00 | 78.50
1044450 | 80.20 | 75.33 | 77.77
1044902 | 88.80 | 66.67 | 77.73
1052393 | 68.00 | 86.67 | 77.34
1044779 | 62.40 | 90.33 | 76.36
1052733 | 75.00 | 77.00 | 76.00
1052687 | 66.40 | 85.00 | 75.70
1052755 | 67.00 | 84.33 | 75.66
1044226 | 57.40 | 93.33 | 75.36
1052588 | 70.40 | 80.00 | 75.20
1044187 | 67.60 | 82.67 | 75.13
1044712 | 76.80 | 73.00 | 74.90
1044662 | 65.20 | 83.33 | 74.27
1044696 | 72.40 | 76.00 | 74.20
1045043 | 65.00 | 83.00 | 74.00
1044391 | 68.60 | 79.33 | 73.97
1044089 | 64.20 | 82.33 | 73.27
1045052 | 66.20 | 80.33 | 73.27
1044716 | 62.20 | 84.00 | 73.10
1044104 | 65.00 | 80.33 | 72.66
1052810 | 62.00 | 83.33 | 72.66
1044623 | 54.20 | 91.00 | 72.60
1052277 | 61.20 | 84.00 | 72.60
1044485 | 72.40 | 72.33 | 72.37
1052289 | 60.80 | 83.67 | 72.23
1044739 | 77.00 | 67.33 | 72.16
1052476 | 61.00 | 83.33 | 72.16
1044984 | 81.80 | 62.33 | 72.06
1052557 | 63.20 | 80.33 | 71.77
1045168 | 71.80 | 71.67 | 71.73
1052840 | 64.80 | 78.67 | 71.73
1045027 | 69.40 | 73.67 | 71.53
1052497 | 72.40 | 70.67 | 71.53
1044260 | 69.80 | 73.00 | 71.40
1044938 | 57.40 | 85.33 | 71.36
1044898 | 72.20 | 70.00 | 71.10
1044912 | 62.40 | 79.67 | 71.03
1052804 | 73.40 | 68.33 | 70.87
1052686 | 70.00 | 71.67 | 70.84
1052482 | 63.20 | 78.00 | 70.60
1052648 | 50.20 | 91.00 | 70.60
1052761 | 68.40 | 72.67 | 70.53
1044970 | 65.80 | 74.67 | 70.23
1052863 | 44.80 | 95.67 | 70.23
1044447 | 58.60 | 81.67 | 70.14
1044794 | 75.80 | 64.33 | 70.06
1044845 | 65.20 | 74.67 | 69.94
1052558 | 61.20 | 78.67 | 69.94
1052506 | 62.80 | 77.00 | 69.90
1044245 | 71.00 | 68.67 | 69.84
1044575 | 83.00 | 56.67 | 69.84
1044136 | 74.20 | 65.33 | 69.77
1044707 | 55.20 | 84.33 | 69.77
1044373 | 46.40 | 93.00 | 69.70
1044324 | 69.00 | 70.33 | 69.66
1044724 | 69.00 | 70.00 | 69.50
1052759 | 60.20 | 78.67 | 69.44
1044812 | 62.00 | 76.67 | 69.34
1044430 | 59.80 | 78.67 | 69.23
1044585 | 60.40 | 78.00 | 69.20
1044844 | 69.00 | 69.33 | 69.16
1052521 | 82.00 | 56.33 | 69.16
1044677 | 71.60 | 66.67 | 69.13
1052657 | 68.80 | 69.33 | 69.06
1052696 | 65.60 | 72.33 | 68.97
1044254 | 75.80 | 62.00 | 68.90
