PID | OCENA A | OCENA B | OGOLNA OCENA | STATUS
9605 | 94.20 | 73.00 | 83.60 | ZDAL_EGZAMIN_PRZYJETY
9440 | 83.60 | 79.33 | 81.47 | ZDAL_EGZAMIN_PRZYJETY
9733 | 71.80 | 87.33 | 79.56 | ZDAL_EGZAMIN_PRZYJETY
9383 | 71.20 | 87.33 | 79.27 | ZDAL_EGZAMIN_PRZYJETY
9717 | 71.60 | 85.67 | 78.63 | ZDAL_EGZAMIN_PRZYJETY
9499 | 74.80 | 76.00 | 75.40 | ZDAL_EGZAMIN_PRZYJETY
9738 | 74.60 | 75.33 | 74.97 | ZDAL_EGZAMIN_PRZYJETY
9239 | 77.20 | 72.67 | 74.94 | ZDAL_EGZAMIN_PRZYJETY
9674 | 63.20 | 86.67 | 74.94 | ZDAL_EGZAMIN_PRZYJETY
9703 | 73.00 | 76.33 | 74.66 | ZDAL_EGZAMIN_PRZYJETY
8910 | 65.20 | 82.33 | 73.77 | ZDAL_EGZAMIN_PRZYJETY
9820 | 66.00 | 81.33 | 73.66 | ZDAL_EGZAMIN_PRZYJETY
9167 | 66.60 | 80.67 | 73.63 | ZDAL_EGZAMIN_PRZYJETY
9259 | 85.40 | 61.33 | 73.37 | ZDAL_EGZAMIN_PRZYJETY
9656 | 70.00 | 76.67 | 73.34 | ZDAL_EGZAMIN_PRZYJETY
8734 | 59.20 | 86.67 | 72.94 | ZDAL_EGZAMIN_PRZYJETY
8679 | 70.00 | 75.67 | 72.84 | ZDAL_EGZAMIN_PRZYJETY
9003 | 66.00 | 79.67 | 72.84 | ZDAL_EGZAMIN_PRZYJETY
9601 | 69.60 | 76.00 | 72.80 | ZDAL_EGZAMIN_PRZYJETY
9757 | 64.60 | 80.33 | 72.47 | ZDAL_EGZAMIN_PRZYJETY
9352 | 75.40 | 69.33 | 72.37 | ZDAL_EGZAMIN_PRZYJETY
9377 | 49.60 | 95.00 | 72.30 | ZDAL_EGZAMIN_PRZYJETY
9650 | 76.20 | 68.33 | 72.27 | ZDAL_EGZAMIN_PRZYJETY
9369 | 71.20 | 72.67 | 71.94 | ZDAL_EGZAMIN_PRZYJETY
8814 | 55.20 | 88.33 | 71.77 | ZDAL_EGZAMIN_PRZYJETY
8836 | 67.00 | 76.00 | 71.50 | ZDAL_EGZAMIN_PRZYJETY
9739 | 70.00 | 72.67 | 71.34 | ZDAL_EGZAMIN_PRZYJETY
9252 | 79.80 | 62.67 | 71.23 | ZDAL_EGZAMIN_PRZYJETY
9391 | 65.60 | 76.67 | 71.13 | ZDAL_EGZAMIN_PRZYJETY
9284 | 67.40 | 74.67 | 71.03 | ZDAL_EGZAMIN_PRZYJETY
9393 | 69.40 | 72.67 | 71.03 | ZDAL_EGZAMIN_PRZYJETY
9006 | 69.00 | 72.67 | 70.84 | ZDAL_EGZAMIN_PRZYJETY
9316 | 75.00 | 66.67 | 70.84 | ZDAL_EGZAMIN_PRZYJETY
9615 | 69.00 | 72.67 | 70.84 | ZDAL_EGZAMIN_PRZYJETY
8998 | 63.40 | 78.00 | 70.70 | ZDAL_EGZAMIN_PRZYJETY
9074 | 69.00 | 72.00 | 70.50 | ZDAL_EGZAMIN_PRZYJETY
8822 | 68.40 | 72.33 | 70.37 | ZDAL_EGZAMIN_PRZYJETY
9813 | 71.40 | 69.00 | 70.20 | ZDAL_EGZAMIN_PRZYJETY
8819 | 70.20 | 69.67 | 69.94 | ZDAL_EGZAMIN_PRZYJETY
8925 | 60.40 | 79.00 | 69.70 | ZDAL_EGZAMIN_PRZYJETY
9032 | 77.40 | 61.67 | 69.53 | ZDAL_EGZAMIN_PRZYJETY
9090 | 73.80 | 64.67 | 69.23 | ZDAL_EGZAMIN_PRZYJETY
8870 | 56.40 | 82.00 | 69.20 | ZDAL_EGZAMIN_PRZYJETY
9432 | 68.40 | 70.00 | 69.20 | ZDAL_EGZAMIN_PRZYJETY
9400 | 62.00 | 76.33 | 69.16 | ZDAL_EGZAMIN_PRZYJETY
9490 | 59.80 | 78.33 | 69.06 | ZDAL_EGZAMIN_PRZYJETY
9587 | 58.80 | 79.33 | 69.06 | ZDAL_EGZAMIN_PRZYJETY
8744 | 63.00 | 75.00 | 69.00 | ZDAL_EGZAMIN_PRZYJETY
8704 | 51.20 | 86.33 | 68.77 | ZDAL_EGZAMIN_PRZYJETY
9500 | 53.60 | 83.67 | 68.64 | ZDAL_EGZAMIN_PRZYJETY
9468 | 97.00 | 39.67 | 68.34 | ZDAL_EGZAMIN_PRZYJETY
8723 | 61.60 | 75.00 | 68.30 | ZDAL_EGZAMIN_PRZYJETY
9216 | 52.20 | 84.33 | 68.27 | ZDAL_EGZAMIN_PRZYJETY
9704 | 51.80 | 84.67 | 68.23 | ZDAL_EGZAMIN_PRZYJETY
9379 | 62.60 | 73.67 | 68.14 | ZDAL_EGZAMIN_PRZYJETY
8773 | 69.60 | 66.67 | 68.13 | ZDAL_EGZAMIN_PRZYJETY
9162 | 74.20 | 62.00 | 68.10 | ZDAL_EGZAMIN_PRZYJETY
8923 | 94.00 | 42.00 | 68.00 | ZDAL_EGZAMIN_PRZYJETY
8933 | 63.20 | 72.67 | 67.94 | ZDAL_EGZAMIN_PRZYJETY
9136 | 57.20 | 78.33 | 67.77 | ZDAL_EGZAMIN_PRZYJETY
8703 | 74.80 | 60.67 | 67.73 | ZDAL_EGZAMIN_PRZYJETY
9017 | 75.40 | 60.00 | 67.70 | ZDAL_EGZAMIN_PRZYJETY
9307 | 61.60 | 73.00 | 67.30 | ZDAL_EGZAMIN_PRZYJETY
9092 | 67.40 | 67.00 | 67.20 | ZDAL_EGZAMIN_PRZYJETY
8971 | 56.20 | 78.00 | 67.10 | ZDAL_EGZAMIN_PRZYJETY
9736 | 73.80 | 60.33 | 67.06 | ZDAL_EGZAMIN_PRZYJETY
8952 | 59.40 | 74.67 | 67.03 | ZDAL_EGZAMIN_PRZYJETY
8776 | 62.00 | 72.00 | 67.00 | ZDAL_EGZAMIN_PRZYJETY
9203 | 60.00 | 74.00 | 67.00 | ZDAL_EGZAMIN_PRZYJETY
9602 | 60.00 | 74.00 | 67.00 | ZDAL_EGZAMIN_PRZYJETY
9768 | 68.80 | 65.00 | 66.90 | ZDAL_EGZAMIN_PRZYJETY
9104 | 59.40 | 74.33 | 66.86 | ZDAL_EGZAMIN_PRZYJETY
8787 | 68.00 | 65.67 | 66.84 | ZDAL_EGZAMIN_PRZYJETY
9245 | 46.60 | 86.33 | 66.47 | ZDAL_EGZAMIN_PRZYJETY
9778 | 55.60 | 77.33 | 66.47 | ZDAL_EGZAMIN_PRZYJETY
9737 | 39.80 | 93.00 | 66.40 | ZDAL_EGZAMIN_PRZYJETY
9798 | 52.20 | 80.00 | 66.10 | ZDAL_EGZAMIN_PRZYJETY
9190 | 77.40 | 54.67 | 66.03 | ZDAL_EGZAMIN_PRZYJETY
9033 | 59.00 | 73.00 | 66.00 | ZDAL_EGZAMIN_PRZYJETY
9036 | 72.00 | 60.00 | 66.00 | ZDAL_EGZAMIN_PRZYJETY
9576 | 66.00 | 66.00 | 66.00 | ZDAL_EGZAMIN_PRZYJETY
9829 | 58.00 | 74.00 | 66.00 | ZDAL_EGZAMIN_PRZYJETY
8922 | 50.60 | 81.33 | 65.97 | ZDAL_EGZAMIN_PRZYJETY
9567 | 58.40 | 73.33 | 65.86 | ZDAL_EGZAMIN_PRZYJETY
9018 | 68.20 | 63.33 | 65.77 | ZDAL_EGZAMIN_PRZYJETY
9838 | 68.20 | 63.33 | 65.77 | ZDAL_EGZAMIN_PRZYJETY
8818 | 62.40 | 69.00 | 65.70 | ZDAL_EGZAMIN_PRZYJETY
9392 | 80.40 | 51.00 | 65.70 | ZDAL_EGZAMIN_PRZYJETY
8722 | 56.60 | 74.67 | 65.64 | ZDAL_EGZAMIN_PRZYJETY
8961 | 78.60 | 52.67 | 65.63 | ZDAL_EGZAMIN_PRZYJETY
9175 | 66.20 | 65.00 | 65.60 | ZDAL_EGZAMIN_PRZYJETY
9445 | 45.20 | 86.00 | 65.60 | ZDAL_EGZAMIN_PRZYJETY
9009 | 59.00 | 72.00 | 65.50 | ZDAL_EGZAMIN_PRZYJETY
9411 | 71.00 | 60.00 | 65.50 | ZDAL_EGZAMIN_PRZYJETY
9116 | 65.20 | 65.67 | 65.44 | ZDAL_EGZAMIN_PRZYJETY
9242 | 54.20 | 76.67 | 65.44 | ZDAL_EGZAMIN_PRZYJETY
8737 | 67.00 | 63.67 | 65.34 | ZDAL_EGZAMIN_PRZYJETY
9327 | 61.40 | 69.00 | 65.20 | ZDAL_EGZAMIN_PRZYJETY
9632 | 51.60 | 78.67 | 65.14 | ZDAL_EGZAMIN_PRZYJETY
8974 | 49.20 | 81.00 | 65.10 | ZDAL_EGZAMIN_PRZYJETY
9334 | 57.20 | 73.00 | 65.10 | ZDAL_EGZAMIN_PRZYJETY
9872 | 46.20 | 84.00 | 65.10 | ZDAL_EGZAMIN_PRZYJETY
8762 | 53.80 | 76.33 | 65.06 | ZDAL_EGZAMIN_PRZYJETY
8740 | 48.60 | 81.33 | 64.97 | ZDAL_EGZAMIN_PRZYJETY
9067 | 56.20 | 73.67 | 64.94 | ZDAL_EGZAMIN_PRZYJETY
8801 | 58.80 | 70.67 | 64.73 | ZDAL_EGZAMIN_PRZYJETY
9624 | 66.80 | 62.67 | 64.73 | ZDAL_EGZAMIN_PRZYJETY
9291 | 56.40 | 73.00 | 64.70 | ZDAL_EGZAMIN_PRZYJETY
9641 | 73.00 | 56.33 | 64.66 | ZDAL_EGZAMIN_PRZYJETY
9287 | 61.20 | 68.00 | 64.60 | ZDAL_EGZAMIN_PRZYJETY
9483 | 47.20 | 82.00 | 64.60 | ZDAL_EGZAMIN_PRZYJETY
8689 | 54.00 | 75.00 | 64.50 | ZDAL_EGZAMIN_PRZYJETY
8707 | 61.00 | 67.67 | 64.34 | ZDAL_EGZAMIN_PRZYJETY
9207 | 43.00 | 85.67 | 64.34 | ZDAL_EGZAMIN_PRZYJETY
8966 | 50.40 | 78.00 | 64.20 | ZDAL_EGZAMIN_PRZYJETY
9522 | 62.40 | 66.00 | 64.20 | ZDAL_EGZAMIN_PRZYJETY
8935 | 55.00 | 73.33 | 64.16 | ZDAL_EGZAMIN_PRZYJETY
9453 | 57.20 | 71.00 | 64.10 | ZDAL_EGZAMIN_PRZYJETY
9134 | 77.80 | 50.33 | 64.06 | ZDAL_EGZAMIN_PRZYJETY
9466 | 53.80 | 74.33 | 64.06 | ZDAL_EGZAMIN_PRZYJETY
8677 | 64.40 | 63.67 | 64.03 | ZDAL_EGZAMIN_BRAK_MIEJSC
9130 | 48.00 | 80.00 | 64.00 | ZDAL_EGZAMIN_BRAK_MIEJSC
9267 | 57.60 | 70.33 | 63.97 | ZDAL_EGZAMIN_BRAK_MIEJSC
8893 | 57.20 | 70.67 | 63.94 | ZDAL_EGZAMIN_BRAK_MIEJSC
8700 | 64.80 | 63.00 | 63.90 | ZDAL_EGZAMIN_BRAK_MIEJSC
8932 | 57.80 | 70.00 | 63.90 | ZDAL_EGZAMIN_BRAK_MIEJSC
9416 | 64.80 | 63.00 | 63.90 | ZDAL_EGZAMIN_BRAK_MIEJSC
9108 | 56.00 | 71.67 | 63.84 | ZDAL_EGZAMIN_BRAK_MIEJSC
9543 | 55.40 | 72.00 | 63.70 | ZDAL_EGZAMIN_BRAK_MIEJSC
9197 | 67.20 | 60.00 | 63.60 | ZDAL_EGZAMIN_BRAK_MIEJSC
9701 | 41.20 | 86.00 | 63.60 | ZDAL_EGZAMIN_BRAK_MIEJSC
9263 | 66.40 | 60.67 | 63.54 | ZDAL_EGZAMIN_BRAK_MIEJSC
9293 | 58.40 | 68.67 | 63.53 | ZDAL_EGZAMIN_BRAK_MIEJSC
9412 | 52.40 | 74.67 | 63.53 | ZDAL_EGZAMIN_BRAK_MIEJSC
9039 | 61.60 | 65.33 | 63.47 | ZDAL_EGZAMIN_BRAK_MIEJSC
9461 | 69.20 | 57.67 | 63.44 | ZDAL_EGZAMIN_BRAK_MIEJSC
9569 | 56.80 | 70.00 | 63.40 | ZDAL_EGZAMIN_BRAK_MIEJSC
9517 | 70.00 | 56.67 | 63.34 | ZDAL_EGZAMIN_BRAK_MIEJSC
9310 | 57.20 | 69.33 | 63.27 | ZDAL_EGZAMIN_BRAK_MIEJSC
9325 | 61.20 | 65.33 | 63.27 | ZDAL_EGZAMIN_BRAK_MIEJSC
8664 | 60.40 | 66.00 | 63.20 | ZDAL_EGZAMIN_BRAK_MIEJSC
9160 | 57.40 | 69.00 | 63.20 | ZDAL_EGZAMIN_BRAK_MIEJSC
8909 | 45.00 | 81.33 | 63.16 | ZDAL_EGZAMIN_BRAK_MIEJSC
9127 | 51.00 | 75.33 | 63.16 | ZDAL_EGZAMIN_BRAK_MIEJSC
9277 | 67.00 | 59.33 | 63.16 | ZDAL_EGZAMIN_BRAK_MIEJSC
9735 | 63.00 | 63.33 | 63.16 | ZDAL_EGZAMIN_BRAK_MIEJSC
9553 | 66.00 | 59.67 | 62.84 | ZDAL_EGZAMIN_BRAK_MIEJSC
8985 | 73.60 | 52.00 | 62.80 | ZDAL_EGZAMIN_BRAK_MIEJSC
9302 | 70.60 | 55.00 | 62.80 | ZDAL_EGZAMIN_BRAK_MIEJSC
9066 | 49.20 | 76.33 | 62.77 | ZDAL_EGZAMIN_BRAK_MIEJSC
8875 | 65.40 | 60.00 | 62.70 | ZDAL_EGZAMIN_BRAK_MIEJSC
9390 | 56.00 | 69.33 | 62.66 | ZDAL_EGZAMIN_BRAK_MIEJSC
9105 | 34.20 | 91.00 | 62.60 | ZDAL_EGZAMIN_BRAK_MIEJSC
9021 | 71.80 | 53.33 | 62.56 | ZDAL_EGZAMIN_BRAK_MIEJSC
9578 | 41.40 | 83.67 | 62.53 | ZDAL_EGZAMIN_BRAK_MIEJSC
9751 | 65.00 | 60.00 | 62.50 | ZDAL_EGZAMIN_BRAK_MIEJSC
9318 | 62.60 | 62.33 | 62.47 | ZDAL_EGZAMIN_BRAK_MIEJSC
8905 | 65.20 | 59.67 | 62.44 | ZDAL_EGZAMIN_BRAK_MIEJSC
9089 | 57.20 | 67.67 | 62.44 | ZDAL_EGZAMIN_BRAK_MIEJSC
9830 | 72.80 | 52.00 | 62.40 | ZDAL_EGZAMIN_BRAK_MIEJSC
