[Czas: 15:27:16.177]	[Komisja B] [P] Przewodniczący 0 w komisji B: Rozpoczynam pracę.
[Czas: 15:27:22.489]	[Komisja B] [PID: 767348] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Zadał kandydatowi [PID: 767349] treść nr: 37
[Czas: 15:27:22.490]	[Komisja B] [PID: 767348] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Zadał kandydatowi [PID: 767349] treść nr: 45
[Czas: 15:27:22.490]	[Komisja B] [PID: 767348] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Zadał kandydatowi [PID: 767349] treść nr: 40
[Czas: 15:27:22.490]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Ocenił kandydata [PID: 767349] |	 Wynik cząstkowy: 81
[Czas: 15:27:22.490]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Ocenił kandydata [PID: 767349] |	 Wynik cząstkowy: 16
[Czas: 15:27:22.490]	[Komisja B] [PID: 767348] |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Ocenił kandydata [PID: 767349] |	 Wynik cząstkowy: 36
[Czas: 15:27:22.491]	[Komisja B] [PID: 767348] |	 Kandydat [PID: 767349] |	 ZDAŁ B |	 Wynik: 44.33 pkt
[Czas: 15:27:22.664]	[Komisja B] [PID: 767348] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Zadał kandydatowi [PID: 767354] treść nr: 24
[Czas: 15:27:22.665]	[Komisja B] [PID: 767348] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Zadał kandydatowi [PID: 767354] treść nr: 9
[Czas: 15:27:22.665]	[Komisja B] [PID: 767348] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Zadał kandydatowi [PID: 767354] treść nr: 38
[Czas: 15:27:22.665]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Ocenił kandydata [PID: 767354] |	 Wynik cząstkowy: 77
[Czas: 15:27:22.665]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Ocenił kandydata [PID: 767354] |	 Wynik cząstkowy: 32
[Czas: 15:27:22.665]	[Komisja B] [PID: 767348] |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Ocenił kandydata [PID: 767354] |	 Wynik cząstkowy: 52
[Czas: 15:27:22.666]	[Komisja B] [PID: 767348] |	 Kandydat [PID: 767354] |	 ZDAŁ B |	 Wynik: 53.67 pkt
[Czas: 15:27:22.667]	[Komisja B] [PID: 767348] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Zadał kandydatowi [PID: 767360] treść nr: 44
[Czas: 15:27:22.667]	[Komisja B] [PID: 767348] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Zadał kandydatowi [PID: 767360] treść nr: 32
[Czas: 15:27:22.667]	[Komisja B] [PID: 767348] |	 Pytanie nr: 3 |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Zadał kandydatowi [PID: 767360] treść nr: 9
[Czas: 15:27:22.668]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Ocenił kandydata [PID: 767360] |	 Wynik cząstkowy: 74
[Czas: 15:27:22.668]	[Komisja B] [PID: 767348] |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Ocenił kandydata [PID: 767360] |	 Wynik cząstkowy: 55
