[Czas: 15:42:48.749]	[Komisja A] [P] Przewodniczący 0 w komisji A: Rozpoczynam pracę.
[Czas: 15:42:51.164]	[Komisja A] [PID: 887229] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 887236] [ID: 2] |	 Zadał kandydatowi [PID: 887240] treść nr: 24
[Czas: 15:42:51.165]	[Komisja A] [PID: 887229] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 887234] [ID: 1] |	 Zadał kandydatowi [PID: 887240] treść nr: 27
[Czas: 15:42:51.165]	[Komisja A] [PID: 887229] |	 Pytanie nr: 3 |	 Egzaminator [P] [TID: 887232] [ID: 0] |	 Zadał kandydatowi [PID: 887240] treść nr: 39
[Czas: 15:42:51.165]	[Komisja A] [PID: 887229] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 887238] [ID: 3] |	 Zadał kandydatowi [PID: 887240] treść nr: 17
[Czas: 15:42:51.165]	[Komisja A] [PID: 887229] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 887239] [ID: 4] |	 Zadał kandydatowi [PID: 887240] treść nr: 48
[Czas: 15:42:51.382]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887239] [ID: 4] |	 Ocenił kandydata [PID: 887240] |	 Wynik cząstkowy: 77
[Czas: 15:42:51.382]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887236] [ID: 2] |	 Ocenił kandydata [PID: 887240] |	 Wynik cząstkowy: 65
[Czas: 15:42:51.382]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887234] [ID: 1] |	 Ocenił kandydata [PID: 887240] |	 Wynik cząstkowy: 76
[Czas: 15:42:51.382]	[Komisja A] [PID: 887229] |	 Egzaminator [P] [TID: 887232] [ID: 0] |	 Ocenił kandydata [PID: 887240] |	 Wynik cząstkowy: 45
[Czas: 15:42:51.382]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887238] [ID: 3] |	 Ocenił kandydata [PID: 887240] |	 Wynik cząstkowy: 65
[Czas: 15:42:51.383]	[Komisja A] [PID: 887229] |	 Kandydat [PID: 887240] |	 ZDAŁ A (-> B) |	 Wynik: 65.60 pkt
[Czas: 15:42:51.384]	[Komisja A] [PID: 887229] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 887232] [ID: 0] |	 Zadał kandydatowi [PID: 887241] treść nr: 21
[Czas: 15:42:51.384]	[Komisja A] [PID: 887229] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 887236] [ID: 2] |	 Zadał kandydatowi [PID: 887241] treść nr: 40
[Czas: 15:42:51.384]	[Komisja A] [PID: 887229] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 887234] [ID: 1] |	 Zadał kandydatowi [PID: 887241] treść nr: 43
[Czas: 15:42:51.384]	[Komisja A] [PID: 887229] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 887239] [ID: 4] |	 Zadał kandydatowi [PID: 887241] treść nr: 5
[Czas: 15:42:51.384]	[Komisja A] [PID: 887229] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 887238] [ID: 3] |	 Zadał kandydatowi [PID: 887241] treść nr: 34
[Czas: 15:42:51.585]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887236] [ID: 2] |	 Ocenił kandydata [PID: 887241] |	 Wynik cząstkowy: 12
[Czas: 15:42:51.585]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887238] [ID: 3] |	 Ocenił kandydata [PID: 887241] |	 Wynik cząstkowy: 57
[Czas: 15:42:51.585]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887239] [ID: 4] |	 Ocenił kandydata [PID: 887241] |	 Wynik cząstkowy: 19
[Czas: 15:42:51.585]	[Komisja A] [PID: 887229] |	 Egzaminator [P] [TID: 887232] [ID: 0] |	 Ocenił kandydata [PID: 887241] |	 Wynik cząstkowy: 51
[Czas: 15:42:51.585]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887234] [ID: 1] |	 Ocenił kandydata [PID: 887241] |	 Wynik cząstkowy: 73
[Czas: 15:42:51.586]	[Komisja A] [PID: 887229] |	 Kandydat [PID: 887241] |	 ZDAŁ A (-> B) |	 Wynik: 42.40 pkt
[Czas: 15:42:51.586]	[Komisja A] [PID: 887229] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 887236] [ID: 2] |	 Zadał kandydatowi [PID: 887242] treść nr: 1
[Czas: 15:42:51.586]	[Komisja A] [PID: 887229] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 887239] [ID: 4] |	 Zadał kandydatowi [PID: 887242] treść nr: 42
[Czas: 15:42:51.586]	[Komisja A] [PID: 887229] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 887238] [ID: 3] |	 Zadał kandydatowi [PID: 887242] treść nr: 22
[Czas: 15:42:51.587]	[Komisja A] [PID: 887229] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 887234] [ID: 1] |	 Zadał kandydatowi [PID: 887242] treść nr: 14
[Czas: 15:42:51.587]	[Komisja A] [PID: 887229] |	 Pytanie nr: 5 |	 Egzaminator [P] [TID: 887232] [ID: 0] |	 Zadał kandydatowi [PID: 887242] treść nr: 3
[Czas: 15:42:51.788]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887236] [ID: 2] |	 Ocenił kandydata [PID: 887242] |	 Wynik cząstkowy: 93
[Czas: 15:42:51.788]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887239] [ID: 4] |	 Ocenił kandydata [PID: 887242] |	 Wynik cząstkowy: 96
[Czas: 15:42:51.788]	[Komisja A] [PID: 887229] |	 Egzaminator [P] [TID: 887232] [ID: 0] |	 Ocenił kandydata [PID: 887242] |	 Wynik cząstkowy: 60
[Czas: 15:42:51.788]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887238] [ID: 3] |	 Ocenił kandydata [PID: 887242] |	 Wynik cząstkowy: 53
[Czas: 15:42:51.788]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887234] [ID: 1] |	 Ocenił kandydata [PID: 887242] |	 Wynik cząstkowy: 59
[Czas: 15:42:51.788]	[Komisja A] [PID: 887229] |	 Kandydat [PID: 887242] |	 ZDAŁ A (-> B) |	 Wynik: 72.20 pkt
[Czas: 15:42:51.789]	[Komisja A] [PID: 887229] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 887232] [ID: 0] |	 Zadał kandydatowi [PID: 887244] treść nr: 15
[Czas: 15:42:51.789]	[Komisja A] [PID: 887229] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 887234] [ID: 1] |	 Zadał kandydatowi [PID: 887244] treść nr: 12
[Czas: 15:42:51.789]	[Komisja A] [PID: 887229] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 887239] [ID: 4] |	 Zadał kandydatowi [PID: 887244] treść nr: 14
[Czas: 15:42:51.789]	[Komisja A] [PID: 887229] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 887236] [ID: 2] |	 Zadał kandydatowi [PID: 887244] treść nr: 5
[Czas: 15:42:51.790]	[Komisja A] [PID: 887229] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 887238] [ID: 3] |	 Zadał kandydatowi [PID: 887244] treść nr: 30
[Czas: 15:42:51.996]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887236] [ID: 2] |	 Ocenił kandydata [PID: 887244] |	 Wynik cząstkowy: 94
[Czas: 15:42:51.996]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887238] [ID: 3] |	 Ocenił kandydata [PID: 887244] |	 Wynik cząstkowy: 18
[Czas: 15:42:51.996]	[Komisja A] [PID: 887229] |	 Egzaminator [P] [TID: 887232] [ID: 0] |	 Ocenił kandydata [PID: 887244] |	 Wynik cząstkowy: 86
[Czas: 15:42:51.996]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887234] [ID: 1] |	 Ocenił kandydata [PID: 887244] |	 Wynik cząstkowy: 61
[Czas: 15:42:51.996]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887239] [ID: 4] |	 Ocenił kandydata [PID: 887244] |	 Wynik cząstkowy: 97
[Czas: 15:42:52.002]	[Komisja A] [PID: 887229] |	 Kandydat [PID: 887244] |	 ZDAŁ A (-> B) |	 Wynik: 71.20 pkt
[Czas: 15:42:52.003]	[Komisja A] [PID: 887229] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 887239] [ID: 4] |	 Zadał kandydatowi [PID: 887245] treść nr: 35
[Czas: 15:42:52.003]	[Komisja A] [PID: 887229] |	 Pytanie nr: 2 |	 Egzaminator [P] [TID: 887232] [ID: 0] |	 Zadał kandydatowi [PID: 887245] treść nr: 24
[Czas: 15:42:52.003]	[Komisja A] [PID: 887229] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 887234] [ID: 1] |	 Zadał kandydatowi [PID: 887245] treść nr: 20
[Czas: 15:42:52.004]	[Komisja A] [PID: 887229] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 887236] [ID: 2] |	 Zadał kandydatowi [PID: 887245] treść nr: 27
[Czas: 15:42:52.004]	[Komisja A] [PID: 887229] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 887238] [ID: 3] |	 Zadał kandydatowi [PID: 887245] treść nr: 28
[Czas: 15:42:52.208]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887239] [ID: 4] |	 Ocenił kandydata [PID: 887245] |	 Wynik cząstkowy: 44
