[Czas: 16:24:01.694]	[Dziekan] [PID: 920335] Rekrutacja otwarta. Generuję komisje i kandydatów 
[Czas: 16:24:01.694]	[Dziekan] [PID: 920335] Rozpoczynam sekwencyjne tworzenie kandydatów...
[Czas: 16:24:02.009]	[Dziekan] [PID: 920335] Utworzono 500 kandydatów. Czekają w kolejce FIFO.
[Czas: 16:24:02.009]	[Dziekan] [PID: 920335] Czekam na godzinę T 2...
[Czas: 16:24:02.009]	[Dziekan] [PID: 920335] Godzina T wybija! Odbieram zgłoszenia (FIFO).
[Czas: 16:24:02.009]	[Dziekan] [PID: 920335] Kandydat [PID: 920338] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.014]	[Dziekan] [PID: 920335] Kandydat [PID: 920347] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.014]	[Dziekan] [PID: 920335] Kandydat [PID: 920348] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.014]	[Dziekan] [PID: 920335] Kandydat [PID: 920349] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.014]	[Dziekan] [PID: 920335] Kandydat [PID: 920350] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.014]	[Dziekan] [PID: 920335] Kandydat [PID: 920351] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.014]	[Dziekan] [PID: 920335] Kandydat [PID: 920352] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.015]	[Dziekan] [PID: 920335] Kandydat [PID: 920353] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.015]	[Dziekan] [PID: 920335] Kandydat [PID: 920354] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.015]	[Dziekan] [PID: 920335] Kandydat [PID: 920355] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.015]	[Dziekan] [PID: 920335] Kandydat [PID: 920356] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.015]	[Dziekan] [PID: 920335] Kandydat [PID: 920357] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.015]	[Dziekan] [PID: 920335] Kandydat [PID: 920358] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.015]	[Dziekan] [PID: 920335] Kandydat [PID: 920359] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.015]	[Dziekan] [PID: 920335] Kandydat [PID: 920360] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.015]	[Dziekan] [PID: 920335] Kandydat [PID: 920361] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.015]	[Dziekan] [PID: 920335] Kandydat [PID: 920362] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.015]	[Dziekan] [PID: 920335] Kandydat [PID: 920363] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.015]	[Dziekan] [PID: 920335] Kandydat [PID: 920364] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.015]	[Dziekan] [PID: 920335] Kandydat [PID: 920365] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.015]	[Dziekan] [PID: 920335] Kandydat [PID: 920366] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.015]	[Dziekan] [PID: 920335] Kandydat [PID: 920367] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.015]	[Dziekan] [PID: 920335] Kandydat [PID: 920368] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.015]	[Dziekan] [PID: 920335] Kandydat [PID: 920369] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.016]	[Dziekan] [PID: 920335] Kandydat [PID: 920370] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.016]	[Dziekan] [PID: 920335] Kandydat [PID: 920371] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.016]	[Dziekan] [PID: 920335] Kandydat [PID: 920372] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.016]	[Dziekan] [PID: 920335] Kandydat [PID: 920373] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.016]	[Dziekan] [PID: 920335] Kandydat [PID: 920374] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.016]	[Dziekan] [PID: 920335] Kandydat [PID: 920375] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.016]	[Dziekan] [PID: 920335] Kandydat [PID: 920376] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.016]	[Dziekan] [PID: 920335] Kandydat [PID: 920377] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.016]	[Dziekan] [PID: 920335] Kandydat [PID: 920378] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.016]	[Dziekan] [PID: 920335] Kandydat [PID: 920379] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.016]	[Dziekan] [PID: 920335] Kandydat [PID: 920380] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.016]	[Dziekan] [PID: 920335] Kandydat [PID: 920381] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.016]	[Dziekan] [PID: 920335] Kandydat [PID: 920382] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.017]	[Dziekan] [PID: 920335] Kandydat [PID: 920383] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.017]	[Dziekan] [PID: 920335] Kandydat [PID: 920384] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.017]	[Dziekan] [PID: 920335] Kandydat [PID: 920385] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.017]	[Dziekan] [PID: 920335] Kandydat [PID: 920386] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.017]	[Dziekan] [PID: 920335] Kandydat [PID: 920387] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.017]	[Dziekan] [PID: 920335] Kandydat [PID: 920388] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.017]	[Dziekan] [PID: 920335] Kandydat [PID: 920389] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.017]	[Dziekan] [PID: 920335] Kandydat [PID: 920390] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.017]	[Dziekan] [PID: 920335] Kandydat [PID: 920391] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.017]	[Dziekan] [PID: 920335] Kandydat [PID: 920392] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.017]	[Dziekan] [PID: 920335] Kandydat [PID: 920393] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.017]	[Dziekan] [PID: 920335] Kandydat [PID: 920394] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.017]	[Dziekan] [PID: 920335] Kandydat [PID: 920395] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.017]	[Dziekan] [PID: 920335] Kandydat [PID: 920396] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.017]	[Dziekan] [PID: 920335] Kandydat [PID: 920397] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.018]	[Dziekan] [PID: 920335] Kandydat [PID: 920398] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.018]	[Dziekan] [PID: 920335] Kandydat [PID: 920399] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.018]	[Dziekan] [PID: 920335] Kandydat [PID: 920400] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.018]	[Dziekan] [PID: 920335] Kandydat [PID: 920401] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.018]	[Dziekan] [PID: 920335] Kandydat [PID: 920402] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.018]	[Dziekan] [PID: 920335] Kandydat [PID: 920403] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
