[Czas: 17:13:37.837]	[Komisja B] [P] Przewodniczący 0 w komisji B: Rozpoczynam pracę.
[Czas: 17:13:40.662]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 1017062] [ID: 2] |	 Zadał kandydatowi [PID: 1017057] treść nr: 6
[Czas: 17:13:40.663]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 2 |	 Egzaminator [P] [TID: 1017059] [ID: 0] |	 Zadał kandydatowi [PID: 1017057] treść nr: 12
[Czas: 17:13:40.663]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 1017061] [ID: 1] |	 Zadał kandydatowi [PID: 1017057] treść nr: 30
[Czas: 17:13:40.663]	[Komisja B] [PID: 1017056] |	 Egzaminator [C] [TID: 1017062] [ID: 2] |	 Ocenił kandydata [PID: 1017057] |	 Wynik cząstkowy: 98
[Czas: 17:13:40.663]	[Komisja B] [PID: 1017056] |	 Egzaminator [C] [TID: 1017061] [ID: 1] |	 Ocenił kandydata [PID: 1017057] |	 Wynik cząstkowy: 32
[Czas: 17:13:40.663]	[Komisja B] [PID: 1017056] |	 Egzaminator [P] [TID: 1017059] [ID: 0] |	 Ocenił kandydata [PID: 1017057] |	 Wynik cząstkowy: 79
[Czas: 17:13:40.663]	[Komisja B] [PID: 1017056] |	 Kandydat [PID: 1017057] |	 ZDAŁ B |	 Wynik: 69.67 pkt
[Czas: 17:13:40.663]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 1017061] [ID: 1] |	 Zadał kandydatowi [PID: 1017063] treść nr: 18
[Czas: 17:13:40.663]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 1017062] [ID: 2] |	 Zadał kandydatowi [PID: 1017063] treść nr: 32
[Czas: 17:13:40.663]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 3 |	 Egzaminator [P] [TID: 1017059] [ID: 0] |	 Zadał kandydatowi [PID: 1017063] treść nr: 31
[Czas: 17:13:40.664]	[Komisja B] [PID: 1017056] |	 Egzaminator [C] [TID: 1017061] [ID: 1] |	 Ocenił kandydata [PID: 1017063] |	 Wynik cząstkowy: 33
