[Czas: 17:14:23.491]	[Komisja A] [P] Przewodniczący 0 w komisji A: Rozpoczynam pracę.
[Czas: 17:14:24.728]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 1022710] [ID: 0] |	 Zadał kandydatowi [PID: 1022709] treść nr: 45
[Czas: 17:14:24.729]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 1022712] [ID: 2] |	 Zadał kandydatowi [PID: 1022709] treść nr: 22
[Czas: 17:14:24.729]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 1022714] [ID: 4] |	 Zadał kandydatowi [PID: 1022709] treść nr: 6
[Czas: 17:14:24.729]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 1022711] [ID: 1] |	 Zadał kandydatowi [PID: 1022709] treść nr: 8
[Czas: 17:14:24.729]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 1022713] [ID: 3] |	 Zadał kandydatowi [PID: 1022709] treść nr: 34
[Czas: 17:14:24.789]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022712] [ID: 2] |	 Ocenił kandydata [PID: 1022709] |	 Wynik cząstkowy: 97
[Czas: 17:14:24.789]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022713] [ID: 3] |	 Ocenił kandydata [PID: 1022709] |	 Wynik cząstkowy: 28
[Czas: 17:14:24.789]	[Komisja A] [PID: 1022707] |	 Egzaminator [P] [TID: 1022710] [ID: 0] |	 Ocenił kandydata [PID: 1022709] |	 Wynik cząstkowy: 37
[Czas: 17:14:24.789]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022714] [ID: 4] |	 Ocenił kandydata [PID: 1022709] |	 Wynik cząstkowy: 88
[Czas: 17:14:24.789]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022711] [ID: 1] |	 Ocenił kandydata [PID: 1022709] |	 Wynik cząstkowy: 7
[Czas: 17:14:24.790]	[Komisja A] [PID: 1022707] |	 Kandydat [PID: 1022709] |	 ZDAŁ A (-> B) |	 Wynik: 51.40 pkt
[Czas: 17:14:24.790]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 1022710] [ID: 0] |	 Zadał kandydatowi [PID: 1022717] treść nr: 37
[Czas: 17:14:24.790]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 1022712] [ID: 2] |	 Zadał kandydatowi [PID: 1022717] treść nr: 18
[Czas: 17:14:24.790]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 1022711] [ID: 1] |	 Zadał kandydatowi [PID: 1022717] treść nr: 16
[Czas: 17:14:24.790]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 1022713] [ID: 3] |	 Zadał kandydatowi [PID: 1022717] treść nr: 49
[Czas: 17:14:24.790]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 1022714] [ID: 4] |	 Zadał kandydatowi [PID: 1022717] treść nr: 8
[Czas: 17:14:24.791]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022712] [ID: 2] |	 Ocenił kandydata [PID: 1022717] |	 Wynik cząstkowy: 85
[Czas: 17:14:24.791]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022713] [ID: 3] |	 Ocenił kandydata [PID: 1022717] |	 Wynik cząstkowy: 89
[Czas: 17:14:24.791]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022714] [ID: 4] |	 Ocenił kandydata [PID: 1022717] |	 Wynik cząstkowy: 20
[Czas: 17:14:24.791]	[Komisja A] [PID: 1022707] |	 Egzaminator [P] [TID: 1022710] [ID: 0] |	 Ocenił kandydata [PID: 1022717] |	 Wynik cząstkowy: 44
[Czas: 17:14:24.791]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022711] [ID: 1] |	 Ocenił kandydata [PID: 1022717] |	 Wynik cząstkowy: 48
[Czas: 17:14:24.791]	[Komisja A] [PID: 1022707] |	 Kandydat [PID: 1022717] |	 ZDAŁ A (-> B) |	 Wynik: 57.20 pkt
[Czas: 17:14:24.791]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 1022710] [ID: 0] |	 Zadał kandydatowi [PID: 1022718] treść nr: 11
