[Czas: 17:37:40.692]	[Dziekan] [PID: 1030248] Rekrutacja otwarta. Generuję komisje i kandydatów 
[Czas: 17:37:40.693]	[Dziekan] [PID: 1030248] Rozpoczynam sekwencyjne tworzenie kandydatów...
[Czas: 17:37:48.312]	[Dziekan] [PID: 1030248] Utworzono 1800 kandydatów. Czekają w kolejce FIFO.
[Czas: 17:37:48.312]	[Dziekan] [PID: 1030248] Czekam na godzinę T 2...
[Czas: 17:37:50.312]	[Dziekan] [PID: 1030248] Godzina T wybija! Odbieram zgłoszenia (FIFO).
[Czas: 17:37:50.313]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030251] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.355]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030259] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.355]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030260] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.355]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030262] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.492]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030263] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.535]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030264] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.535]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030265] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.535]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030266] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.535]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030267] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.535]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030268] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.535]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030269] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.536]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030270] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.536]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030271] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.536]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030272] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.536]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030273] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.536]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030274] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.536]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030275] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.536]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030276] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.537]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030277] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.537]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030278] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.537]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030279] zarejestrowany w systemie, ale odrzucony (Brak Matury).
[Czas: 17:37:50.537]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030280] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.537]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030281] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.537]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030282] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.537]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030283] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.537]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030284] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.538]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030285] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.690]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030286] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.739]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030287] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.739]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030288] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.739]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030289] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.739]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030290] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.740]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030291] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.740]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030292] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.740]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030293] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.740]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030294] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.740]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030295] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.740]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030296] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.741]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030297] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.741]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030298] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.741]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030299] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.741]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030300] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.741]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030301] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.741]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030302] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.741]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030303] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.741]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030304] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.742]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030305] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.742]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030306] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.742]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030307] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.742]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030308] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.742]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030309] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.742]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030310] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.742]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030311] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.742]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030312] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.742]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030313] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.743]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030314] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.743]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030315] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.743]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030316] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.743]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030317] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.743]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030318] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.743]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030319] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.743]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030320] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.743]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030321] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.743]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030322] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.744]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030323] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.744]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030324] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.744]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030325] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.744]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030326] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.744]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030327] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.744]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030328] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.744]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030329] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.745]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030330] skierowany do komisji A [PID: 1030249]
