[Czas: 11:54:57.879]	[Komisja A] [P] Przewodniczący 0 w komisji A: Rozpoczynam pracę.
[Czas: 11:55:04.862]	[Komisja A] [PID: 316758] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 316770] [ID: 4] |	 Zadał kandydatowi [PID: 316760] treść nr: 31
[Czas: 11:55:04.863]	[Komisja A] [PID: 316758] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 316765] [ID: 2] |	 Zadał kandydatowi [PID: 316760] treść nr: 11
[Czas: 11:55:04.863]	[Komisja A] [PID: 316758] |	 Pytanie nr: 3 |	 Egzaminator [P] [TID: 316761] [ID: 0] |	 Zadał kandydatowi [PID: 316760] treść nr: 18
[Czas: 11:55:04.863]	[Komisja A] [PID: 316758] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 316763] [ID: 1] |	 Zadał kandydatowi [PID: 316760] treść nr: 46
[Czas: 11:55:04.863]	[Komisja A] [PID: 316758] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 316767] [ID: 3] |	 Zadał kandydatowi [PID: 316760] treść nr: 1
[Czas: 11:55:05.303]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316770] [ID: 4] |	 Ocenił kandydata [PID: 316760] | Numer pytania: 31 | Jego odpowiedz: 34 	 Wynik cząstkowy: 59
[Czas: 11:55:05.303]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316767] [ID: 3] |	 Ocenił kandydata [PID: 316760] | Numer pytania: 1 | Jego odpowiedz: 11 	 Wynik cząstkowy: 61
[Czas: 11:55:05.303]	[Komisja A] [PID: 316758] |	 Egzaminator [P] [TID: 316761] [ID: 0] |	 Ocenił kandydata [PID: 316760] | Numer pytania: 18 | Jego odpowiedz: 19 	 Wynik cząstkowy: 1
[Czas: 11:55:05.303]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316765] [ID: 2] |	 Ocenił kandydata [PID: 316760] | Numer pytania: 11 | Jego odpowiedz: 16 	 Wynik cząstkowy: 34
[Czas: 11:55:05.303]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316763] [ID: 1] |	 Ocenił kandydata [PID: 316760] | Numer pytania: 46 | Jego odpowiedz: 50 	 Wynik cząstkowy: 15
[Czas: 11:55:05.304]	[Komisja A] [PID: 316758] |	 Kandydat [PID: 316760] |	 ZDAŁ A (-> B) |	 Wynik: 34.00 pkt
[Czas: 11:55:05.305]	[Komisja A] [PID: 316758] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 316761] [ID: 0] |	 Zadał kandydatowi [PID: 316768] treść nr: 8
[Czas: 11:55:05.305]	[Komisja A] [PID: 316758] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 316763] [ID: 1] |	 Zadał kandydatowi [PID: 316768] treść nr: 34
[Czas: 11:55:05.305]	[Komisja A] [PID: 316758] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 316767] [ID: 3] |	 Zadał kandydatowi [PID: 316768] treść nr: 17
[Czas: 11:55:05.305]	[Komisja A] [PID: 316758] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 316770] [ID: 4] |	 Zadał kandydatowi [PID: 316768] treść nr: 20
[Czas: 11:55:05.305]	[Komisja A] [PID: 316758] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 316765] [ID: 2] |	 Zadał kandydatowi [PID: 316768] treść nr: 13
[Czas: 11:55:05.607]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316763] [ID: 1] |	 Ocenił kandydata [PID: 316768] | Numer pytania: 34 | Jego odpowiedz: 40 	 Wynik cząstkowy: 56
[Czas: 11:55:05.607]	[Komisja A] [PID: 316758] |	 Egzaminator [P] [TID: 316761] [ID: 0] |	 Ocenił kandydata [PID: 316768] | Numer pytania: 8 | Jego odpowiedz: 14 	 Wynik cząstkowy: 85
[Czas: 11:55:05.607]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316765] [ID: 2] |	 Ocenił kandydata [PID: 316768] | Numer pytania: 13 | Jego odpowiedz: 14 	 Wynik cząstkowy: 0
[Czas: 11:55:05.607]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316770] [ID: 4] |	 Ocenił kandydata [PID: 316768] | Numer pytania: 20 | Jego odpowiedz: 21 	 Wynik cząstkowy: 12
[Czas: 11:55:05.607]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316767] [ID: 3] |	 Ocenił kandydata [PID: 316768] | Numer pytania: 17 | Jego odpowiedz: 19 	 Wynik cząstkowy: 15
[Czas: 11:55:05.607]	[Komisja A] [PID: 316758] |	 Kandydat [PID: 316768] |	 ZDAŁ A (-> B) |	 Wynik: 33.60 pkt
[Czas: 11:55:05.608]	[Komisja A] [PID: 316758] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 316761] [ID: 0] |	 Zadał kandydatowi [PID: 316769] treść nr: 23
[Czas: 11:55:05.608]	[Komisja A] [PID: 316758] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 316770] [ID: 4] |	 Zadał kandydatowi [PID: 316769] treść nr: 45
[Czas: 11:55:05.608]	[Komisja A] [PID: 316758] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 316763] [ID: 1] |	 Zadał kandydatowi [PID: 316769] treść nr: 6
[Czas: 11:55:05.608]	[Komisja A] [PID: 316758] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 316767] [ID: 3] |	 Zadał kandydatowi [PID: 316769] treść nr: 19
[Czas: 11:55:05.608]	[Komisja A] [PID: 316758] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 316765] [ID: 2] |	 Zadał kandydatowi [PID: 316769] treść nr: 50
[Czas: 11:55:05.910]	[Komisja A] [PID: 316758] |	 Egzaminator [P] [TID: 316761] [ID: 0] |	 Ocenił kandydata [PID: 316769] | Numer pytania: 23 | Jego odpowiedz: 28 	 Wynik cząstkowy: 84
[Czas: 11:55:05.910]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316763] [ID: 1] |	 Ocenił kandydata [PID: 316769] | Numer pytania: 6 | Jego odpowiedz: 9 	 Wynik cząstkowy: 29
[Czas: 11:55:05.910]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316770] [ID: 4] |	 Ocenił kandydata [PID: 316769] | Numer pytania: 45 | Jego odpowiedz: 50 	 Wynik cząstkowy: 21
[Czas: 11:55:05.910]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316765] [ID: 2] |	 Ocenił kandydata [PID: 316769] | Numer pytania: 50 | Jego odpowiedz: 60 	 Wynik cząstkowy: 95
[Czas: 11:55:05.910]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316767] [ID: 3] |	 Ocenił kandydata [PID: 316769] | Numer pytania: 19 | Jego odpowiedz: 22 	 Wynik cząstkowy: 91
[Czas: 11:55:05.910]	[Komisja A] [PID: 316758] |	 Kandydat [PID: 316769] |	 ZDAŁ A (-> B) |	 Wynik: 64.00 pkt
[Czas: 11:55:05.910]	[Komisja A] [PID: 316758] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 316767] [ID: 3] |	 Zadał kandydatowi [PID: 316771] treść nr: 33
[Czas: 11:55:05.910]	[Komisja A] [PID: 316758] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 316763] [ID: 1] |	 Zadał kandydatowi [PID: 316771] treść nr: 11
[Czas: 11:55:05.910]	[Komisja A] [PID: 316758] |	 Pytanie nr: 3 |	 Egzaminator [P] [TID: 316761] [ID: 0] |	 Zadał kandydatowi [PID: 316771] treść nr: 20
[Czas: 11:55:05.910]	[Komisja A] [PID: 316758] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 316770] [ID: 4] |	 Zadał kandydatowi [PID: 316771] treść nr: 50
[Czas: 11:55:05.911]	[Komisja A] [PID: 316758] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 316765] [ID: 2] |	 Zadał kandydatowi [PID: 316771] treść nr: 43
[Czas: 11:55:06.212]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316770] [ID: 4] |	 Ocenił kandydata [PID: 316771] | Numer pytania: 50 | Jego odpowiedz: 52 	 Wynik cząstkowy: 54
[Czas: 11:55:06.212]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316765] [ID: 2] |	 Ocenił kandydata [PID: 316771] | Numer pytania: 43 | Jego odpowiedz: 44 	 Wynik cząstkowy: 96
[Czas: 11:55:06.212]	[Komisja A] [PID: 316758] |	 Egzaminator [P] [TID: 316761] [ID: 0] |	 Ocenił kandydata [PID: 316771] | Numer pytania: 20 | Jego odpowiedz: 27 	 Wynik cząstkowy: 68
[Czas: 11:55:06.212]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316767] [ID: 3] |	 Ocenił kandydata [PID: 316771] | Numer pytania: 33 | Jego odpowiedz: 41 	 Wynik cząstkowy: 87
[Czas: 11:55:06.212]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316763] [ID: 1] |	 Ocenił kandydata [PID: 316771] | Numer pytania: 11 | Jego odpowiedz: 16 	 Wynik cząstkowy: 35
[Czas: 11:55:06.213]	[Komisja A] [PID: 316758] |	 Kandydat [PID: 316771] |	 ZDAŁ A (-> B) |	 Wynik: 68.00 pkt
[Czas: 11:55:06.214]	[Komisja A] [PID: 316758] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 316763] [ID: 1] |	 Zadał kandydatowi [PID: 316772] treść nr: 40
[Czas: 11:55:06.214]	[Komisja A] [PID: 316758] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 316767] [ID: 3] |	 Zadał kandydatowi [PID: 316772] treść nr: 8
[Czas: 11:55:06.214]	[Komisja A] [PID: 316758] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 316770] [ID: 4] |	 Zadał kandydatowi [PID: 316772] treść nr: 7
[Czas: 11:55:06.214]	[Komisja A] [PID: 316758] |	 Pytanie nr: 4 |	 Egzaminator [P] [TID: 316761] [ID: 0] |	 Zadał kandydatowi [PID: 316772] treść nr: 27
[Czas: 11:55:06.214]	[Komisja A] [PID: 316758] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 316765] [ID: 2] |	 Zadał kandydatowi [PID: 316772] treść nr: 21
[Czas: 11:55:06.516]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316763] [ID: 1] |	 Ocenił kandydata [PID: 316772] | Numer pytania: 40 | Jego odpowiedz: 50 	 Wynik cząstkowy: 55
[Czas: 11:55:06.516]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316767] [ID: 3] |	 Ocenił kandydata [PID: 316772] | Numer pytania: 8 | Jego odpowiedz: 17 	 Wynik cząstkowy: 38
[Czas: 11:55:06.516]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316770] [ID: 4] |	 Ocenił kandydata [PID: 316772] | Numer pytania: 7 | Jego odpowiedz: 17 	 Wynik cząstkowy: 33
[Czas: 11:55:06.516]	[Komisja A] [PID: 316758] |	 Egzaminator [P] [TID: 316761] [ID: 0] |	 Ocenił kandydata [PID: 316772] | Numer pytania: 27 | Jego odpowiedz: 33 	 Wynik cząstkowy: 62
[Czas: 11:55:06.516]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316765] [ID: 2] |	 Ocenił kandydata [PID: 316772] | Numer pytania: 21 | Jego odpowiedz: 25 	 Wynik cząstkowy: 54
[Czas: 11:55:06.516]	[Komisja A] [PID: 316758] |	 Kandydat [PID: 316772] |	 ZDAŁ A (-> B) |	 Wynik: 48.40 pkt
[Czas: 11:55:06.517]	[Komisja A] [PID: 316758] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 316770] [ID: 4] |	 Zadał kandydatowi [PID: 316773] treść nr: 17
[Czas: 11:55:06.517]	[Komisja A] [PID: 316758] |	 Pytanie nr: 2 |	 Egzaminator [P] [TID: 316761] [ID: 0] |	 Zadał kandydatowi [PID: 316773] treść nr: 2
[Czas: 11:55:06.517]	[Komisja A] [PID: 316758] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 316763] [ID: 1] |	 Zadał kandydatowi [PID: 316773] treść nr: 12
[Czas: 11:55:06.517]	[Komisja A] [PID: 316758] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 316765] [ID: 2] |	 Zadał kandydatowi [PID: 316773] treść nr: 37
