[Czas: 12:12:29.063]	[Dziekan] [PID: 416586] Rekrutacja otwarta. Generuję komisje 
[Czas: 12:12:29.064]	[Dziekan] [PID: 416586] Rozpoczynam sekwencyjne tworzenie kandydatów...
[Czas: 12:12:30.805]	[Dziekan] [PID: 416586] Utworzono 1000 kandydatów. Czekają w kolejce FIFO.
[Czas: 12:12:30.806]	[Dziekan] [PID: 416586] Czekam na godzinę T 5...
[Czas: 12:12:35.814]	[Dziekan] [PID: 416586] Godzina T wybija! Odbieram zgłoszenia (FIFO).
[Czas: 12:12:35.814]	[Dziekan] [PID: 416586] Kandydat [PID: 416589] skierowany do komisji A [PID: 416587]
[Czas: 12:12:35.836]	[Dziekan] [PID: 416586] Kandydat [PID: 416598] skierowany do komisji A [PID: 416587]
[Czas: 12:12:35.836]	[Dziekan] [PID: 416586] Kandydat [PID: 416599] skierowany do komisji A [PID: 416587] |	 Kandydat zdał teorię wcześniej
[Czas: 12:12:35.836]	[Dziekan] [PID: 416586] Kandydat [PID: 416600] zarejestrowany w systemie, ale odrzucony (Brak Matury).
[Czas: 12:12:35.836]	[Dziekan] [PID: 416586] Kandydat [PID: 416601] skierowany do komisji A [PID: 416587]
[Czas: 12:12:35.836]	[Dziekan] [PID: 416586] Kandydat [PID: 416602] zarejestrowany w systemie, ale odrzucony (Brak Matury).
[Czas: 12:12:35.837]	[Dziekan] [PID: 416586] Kandydat [PID: 416603] zarejestrowany w systemie, ale odrzucony (Brak Matury).
[Czas: 12:12:35.837]	[Dziekan] [PID: 416586] Kandydat [PID: 416604] zarejestrowany w systemie, ale odrzucony (Brak Matury).
[Czas: 12:12:35.837]	[Dziekan] [PID: 416586] Kandydat [PID: 416605] skierowany do komisji A [PID: 416587]
[Czas: 12:12:35.837]	[Dziekan] [PID: 416586] Kandydat [PID: 416606] skierowany do komisji A [PID: 416587]
[Czas: 12:12:35.837]	[Dziekan] [PID: 416586] Kandydat [PID: 416607] skierowany do komisji A [PID: 416587]
[Czas: 12:12:35.837]	[Dziekan] [PID: 416586] Kandydat [PID: 416608] skierowany do komisji A [PID: 416587]
[Czas: 12:12:35.837]	[Dziekan] [PID: 416586] Kandydat [PID: 416609] skierowany do komisji A [PID: 416587]
[Czas: 12:12:35.837]	[Dziekan] [PID: 416586] Kandydat [PID: 416610] skierowany do komisji A [PID: 416587]
[Czas: 12:12:35.838]	[Dziekan] [PID: 416586] Kandydat [PID: 416611] skierowany do komisji A [PID: 416587]
[Czas: 12:12:35.838]	[Dziekan] [PID: 416586] Kandydat [PID: 416612] skierowany do komisji A [PID: 416587]
[Czas: 12:12:35.838]	[Dziekan] [PID: 416586] Kandydat [PID: 416613] zarejestrowany w systemie, ale odrzucony (Brak Matury).
[Czas: 12:12:35.838]	[Dziekan] [PID: 416586] Kandydat [PID: 416614] skierowany do komisji A [PID: 416587]
[Czas: 12:12:35.838]	[Dziekan] [PID: 416586] Kandydat [PID: 416615] zarejestrowany w systemie, ale odrzucony (Brak Matury).
[Czas: 12:12:35.838]	[Dziekan] [PID: 416586] Kandydat [PID: 416616] skierowany do komisji A [PID: 416587]
[Czas: 12:12:35.838]	[Dziekan] [PID: 416586] Kandydat [PID: 416617] skierowany do komisji A [PID: 416587]
[Czas: 12:12:35.838]	[Dziekan] [PID: 416586] Kandydat [PID: 416618] skierowany do komisji A [PID: 416587]
[Czas: 12:12:35.838]	[Dziekan] [PID: 416586] Kandydat [PID: 416619] zarejestrowany w systemie, ale odrzucony (Brak Matury).
[Czas: 12:12:35.839]	[Dziekan] [PID: 416586] Kandydat [PID: 416620] skierowany do komisji A [PID: 416587]
[Czas: 12:12:35.839]	[Dziekan] [PID: 416586] Kandydat [PID: 416621] skierowany do komisji A [PID: 416587]
[Czas: 12:12:35.839]	[Dziekan] [PID: 416586] Kandydat [PID: 416622] skierowany do komisji A [PID: 416587]
[Czas: 12:12:35.839]	[Dziekan] [PID: 416586] Kandydat [PID: 416623] skierowany do komisji A [PID: 416587]
[Czas: 12:12:35.839]	[Dziekan] [PID: 416586] Kandydat [PID: 416624] skierowany do komisji A [PID: 416587]
[Czas: 12:12:35.839]	[Dziekan] [PID: 416586] Kandydat [PID: 416625] skierowany do komisji A [PID: 416587]
[Czas: 12:12:35.839]	[Dziekan] [PID: 416586] Kandydat [PID: 416626] skierowany do komisji A [PID: 416587]
[Czas: 12:12:35.839]	[Dziekan] [PID: 416586] Kandydat [PID: 416627] skierowany do komisji A [PID: 416587]
[Czas: 12:12:35.839]	[Dziekan] [PID: 416586] Kandydat [PID: 416628] skierowany do komisji A [PID: 416587]
[Czas: 12:12:35.840]	[Dziekan] [PID: 416586] Kandydat [PID: 416629] skierowany do komisji A [PID: 416587]
[Czas: 12:12:35.840]	[Dziekan] [PID: 416586] Kandydat [PID: 416630] skierowany do komisji A [PID: 416587]
[Czas: 12:12:35.840]	[Dziekan] [PID: 416586] Kandydat [PID: 416631] skierowany do komisji A [PID: 416587]
[Czas: 12:12:35.840]	[Dziekan] [PID: 416586] Kandydat [PID: 416632] skierowany do komisji A [PID: 416587]
[Czas: 12:12:35.840]	[Dziekan] [PID: 416586] Kandydat [PID: 416633] zarejestrowany w systemie, ale odrzucony (Brak Matury).
[Czas: 12:12:35.840]	[Dziekan] [PID: 416586] Kandydat [PID: 416634] skierowany do komisji A [PID: 416587]
[Czas: 12:12:35.840]	[Dziekan] [PID: 416586] Kandydat [PID: 416635] skierowany do komisji A [PID: 416587]
[Czas: 12:12:35.840]	[Dziekan] [PID: 416586] Kandydat [PID: 416636] skierowany do komisji A [PID: 416587]
[Czas: 12:12:35.841]	[Dziekan] [PID: 416586] Kandydat [PID: 416637] zarejestrowany w systemie, ale odrzucony (Brak Matury).
