[Czas: 10:58:23.928]	[Dziekan] [PID: 516746] Rekrutacja otwarta. Generuję komisje 
[Czas: 10:58:23.929]	[Dziekan] [PID: 516746] Rozpoczynam sekwencyjne tworzenie kandydatów...
[Czas: 10:58:25.044]	[Dziekan] [PID: 516746] Utworzono 1200 kandydatów. Czekają w kolejce FIFO.
[Czas: 10:58:25.044]	[Dziekan] [PID: 516746] Czekam na godzinę T 3...
[Czas: 10:58:28.047]	[Dziekan] [PID: 516746] Godzina T wybija! Odbieram zgłoszenia (FIFO).
[Czas: 10:58:28.047]	[Dziekan] [PID: 516746] Kandydat [PID: 516749] skierowany do komisji A [PID: 516747]
[Czas: 10:58:28.099]	[Dziekan] [PID: 516746] Kandydat [PID: 516758] skierowany do komisji A [PID: 516747]
[Czas: 10:58:28.110]	[Dziekan] [PID: 516746] Kandydat [PID: 516759] skierowany do komisji A [PID: 516747]
[Czas: 10:58:28.110]	[Dziekan] [PID: 516746] Kandydat [PID: 516760] skierowany do komisji A [PID: 516747]
[Czas: 10:58:28.110]	[Dziekan] [PID: 516746] Kandydat [PID: 516761] skierowany do komisji A [PID: 516747]
[Czas: 10:58:28.110]	[Dziekan] [PID: 516746] Kandydat [PID: 516762] skierowany do komisji A [PID: 516747]
[Czas: 10:58:28.145]	[Dziekan] [PID: 516746] Kandydat [PID: 516763] skierowany do komisji A [PID: 516747]
[Czas: 10:58:28.193]	[Dziekan] [PID: 516746] Kandydat [PID: 516764] skierowany do komisji A [PID: 516747]
[Czas: 10:58:28.203]	[Dziekan] [PID: 516746] Kandydat [PID: 516765] skierowany do komisji A [PID: 516747]
[Czas: 10:58:28.203]	[Dziekan] [PID: 516746] Kandydat [PID: 516766] skierowany do komisji A [PID: 516747]
[Czas: 10:58:28.203]	[Dziekan] [PID: 516746] Kandydat [PID: 516767] skierowany do komisji A [PID: 516747]
[Czas: 10:58:28.203]	[Dziekan] [PID: 516746] Kandydat [PID: 516768] skierowany do komisji A [PID: 516747]
[Czas: 10:58:28.203]	[Dziekan] [PID: 516746] Kandydat [PID: 516769] skierowany do komisji A [PID: 516747]
[Czas: 10:58:28.204]	[Dziekan] [PID: 516746] Kandydat [PID: 516770] skierowany do komisji A [PID: 516747]
[Czas: 10:58:28.204]	[Dziekan] [PID: 516746] Kandydat [PID: 516771] skierowany do komisji A [PID: 516747]
[Czas: 10:58:28.204]	[Dziekan] [PID: 516746] Kandydat [PID: 516772] skierowany do komisji A [PID: 516747]
[Czas: 10:58:28.204]	[Dziekan] [PID: 516746] Kandydat [PID: 516773] skierowany do komisji A [PID: 516747]
[Czas: 10:58:28.241]	[Dziekan] [PID: 516746] Kandydat [PID: 516774] skierowany do komisji A [PID: 516747]
[Czas: 10:58:28.291]	[Dziekan] [PID: 516746] Kandydat [PID: 516775] skierowany do komisji A [PID: 516747]
[Czas: 10:58:28.301]	[Dziekan] [PID: 516746] Kandydat [PID: 516776] skierowany do komisji A [PID: 516747]
[Czas: 10:58:32.031]	[Dziekan] [PID: 516746] Kandydat [PID: 516777] skierowany do komisji A [PID: 516747]
[Czas: 10:58:32.031]	[Dziekan] [PID: 516746] Kandydat [PID: 516778] skierowany do komisji A [PID: 516747]
[Czas: 10:58:32.031]	[Dziekan] [PID: 516746] Kandydat [PID: 516779] skierowany do komisji A [PID: 516747]
[Czas: 10:58:32.031]	[Dziekan] [PID: 516746] Kandydat [PID: 516780] skierowany do komisji A [PID: 516747]
[Czas: 10:58:32.031]	[Dziekan] [PID: 516746] Kandydat [PID: 516781] skierowany do komisji A [PID: 516747]
[Czas: 10:58:32.031]	[Dziekan] [PID: 516746] Kandydat [PID: 516782] skierowany do komisji A [PID: 516747]
[Czas: 10:58:32.031]	[Dziekan] [PID: 516746] Kandydat [PID: 516783] skierowany do komisji A [PID: 516747]
[Czas: 10:58:32.031]	[Dziekan] [PID: 516746] Kandydat [PID: 516784] skierowany do komisji A [PID: 516747]
[Czas: 10:58:32.032]	[Dziekan] [PID: 516746] Kandydat [PID: 516785] skierowany do komisji A [PID: 516747]
[Czas: 10:58:32.032]	[Dziekan] [PID: 516746] Kandydat [PID: 516786] skierowany do komisji A [PID: 516747]
[Czas: 10:58:32.032]	[Dziekan] [PID: 516746] Kandydat [PID: 516787] skierowany do komisji A [PID: 516747]
[Czas: 10:58:32.032]	[Dziekan] [PID: 516746] Kandydat [PID: 516788] skierowany do komisji A [PID: 516747]
[Czas: 10:58:32.032]	[Dziekan] [PID: 516746] Kandydat [PID: 516789] skierowany do komisji A [PID: 516747]
[Czas: 10:58:32.032]	[Dziekan] [PID: 516746] Kandydat [PID: 516790] skierowany do komisji A [PID: 516747]
[Czas: 10:58:32.032]	[Dziekan] [PID: 516746] Kandydat [PID: 516791] skierowany do komisji A [PID: 516747]
[Czas: 10:58:32.032]	[Dziekan] [PID: 516746] Kandydat [PID: 516792] skierowany do komisji A [PID: 516747]
[Czas: 10:58:32.032]	[Dziekan] [PID: 516746] Kandydat [PID: 516793] skierowany do komisji A [PID: 516747] |	 Kandydat zdał teorię wcześniej
[Czas: 10:58:32.032]	[Dziekan] [PID: 516746] Kandydat [PID: 516794] skierowany do komisji A [PID: 516747]
[Czas: 10:58:32.032]	[Dziekan] [PID: 516746] Kandydat [PID: 516795] skierowany do komisji A [PID: 516747]
[Czas: 10:58:32.032]	[Dziekan] [PID: 516746] Kandydat [PID: 516796] skierowany do komisji A [PID: 516747]
[Czas: 10:58:32.032]	[Dziekan] [PID: 516746] Kandydat [PID: 516797] skierowany do komisji A [PID: 516747]
[Czas: 10:58:32.032]	[Dziekan] [PID: 516746] Kandydat [PID: 516798] skierowany do komisji A [PID: 516747]
[Czas: 10:58:32.032]	[Dziekan] [PID: 516746] Kandydat [PID: 516799] skierowany do komisji A [PID: 516747]
[Czas: 10:58:32.032]	[Dziekan] [PID: 516746] Kandydat [PID: 516800] skierowany do komisji A [PID: 516747]
[Czas: 10:58:32.032]	[Dziekan] [PID: 516746] Kandydat [PID: 516801] skierowany do komisji A [PID: 516747]
[Czas: 10:58:32.032]	[Dziekan] [PID: 516746] Kandydat [PID: 516802] skierowany do komisji A [PID: 516747]
[Czas: 10:58:32.033]	[Dziekan] [PID: 516746] Kandydat [PID: 516803] skierowany do komisji A [PID: 516747]
[Czas: 10:58:32.033]	[Dziekan] [PID: 516746] Kandydat [PID: 516804] skierowany do komisji A [PID: 516747]
[Czas: 10:58:32.033]	[Dziekan] [PID: 516746] Kandydat [PID: 516805] skierowany do komisji A [PID: 516747]
[Czas: 10:58:32.033]	[Dziekan] [PID: 516746] Kandydat [PID: 516806] skierowany do komisji A [PID: 516747]
[Czas: 10:58:32.033]	[Dziekan] [PID: 516746] Kandydat [PID: 516807] skierowany do komisji A [PID: 516747]
[Czas: 10:58:32.033]	[Dziekan] [PID: 516746] Kandydat [PID: 516808] skierowany do komisji A [PID: 516747]
[Czas: 10:58:32.033]	[Dziekan] [PID: 516746] Kandydat [PID: 516809] skierowany do komisji A [PID: 516747]
[Czas: 10:58:32.033]	[Dziekan] [PID: 516746] Kandydat [PID: 516810] skierowany do komisji A [PID: 516747]
[Czas: 10:58:32.033]	[Dziekan] [PID: 516746] Kandydat [PID: 516811] skierowany do komisji A [PID: 516747]
[Czas: 10:58:32.033]	[Dziekan] [PID: 516746] Kandydat [PID: 516812] skierowany do komisji A [PID: 516747]
[Czas: 10:58:32.033]	[Dziekan] [PID: 516746] Kandydat [PID: 516813] skierowany do komisji A [PID: 516747]
[Czas: 10:58:32.033]	[Dziekan] [PID: 516746] Kandydat [PID: 516814] skierowany do komisji A [PID: 516747]
[Czas: 10:58:32.033]	[Dziekan] [PID: 516746] Kandydat [PID: 516815] skierowany do komisji A [PID: 516747]
[Czas: 10:58:32.033]	[Dziekan] [PID: 516746] Kandydat [PID: 516816] skierowany do komisji A [PID: 516747]
[Czas: 10:58:32.033]	[Dziekan] [PID: 516746] Kandydat [PID: 516817] skierowany do komisji A [PID: 516747]
[Czas: 10:58:32.033]	[Dziekan] [PID: 516746] Kandydat [PID: 516818] skierowany do komisji A [PID: 516747]
